"Table 1. Per Capita Personal Income, by County, 2021–2023",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
,2021,2022,2023,2023,2022,2023,2023
United States,"64,460","66,244","69,810",--,2.8,5.4,--
,,,,,,,
Alabama,"50,483","51,683","54,209",--,2.4,4.9,--
Autauga,"49,174","49,811","53,079",10,1.3,6.6,6
Baldwin,"56,285","57,621","60,969",4,2.4,5.8,12
Barbour,"40,954","41,031","41,531",56,0.2,1.2,58
Bibb,"37,362","38,196","39,835",64,2.2,4.3,35
Blount,"42,975","44,063","45,021",38,2.5,2.2,52
Bullock,"34,068","33,429","36,061",67,-1.9,7.9,1
Butler,"45,438","47,502","49,192",22,4.5,3.6,41
Calhoun,"43,215","42,668","44,737",40,-1.3,4.8,25
Chambers,"39,269","39,447","40,735",62,0.5,3.3,43
Cherokee,"44,590","44,563","45,099",36,-0.1,1.2,59
Chilton,"42,839","43,454","46,120",31,1.4,6.1,9
Choctaw,"43,626","47,125","49,356",20,8.0,4.7,26
Clarke,"45,076","44,788","47,362",26,-0.6,5.7,14
Clay,"39,465","39,456","39,082",66,0.0,-0.9,65
Cleburne,"42,929","44,251","44,266",43,3.1,0.0,61
Coffee,"50,369","51,776","53,573",9,2.8,3.5,42
Colbert,"44,126","44,800","47,137",28,1.5,5.2,21
Conecuh,"41,418","41,390","42,999",49,-0.1,3.9,40
Coosa,"39,176","38,739","40,420",63,-1.1,4.3,32
Covington,"41,775","42,259","43,081",48,1.2,1.9,55
Crenshaw,"45,819","48,617","47,732",25,6.1,-1.8,67
Cullman,"46,886","49,758","50,812",15,6.1,2.1,53
Dale,"44,186","44,871","45,756",32,1.6,2.0,54
Dallas,"42,508","42,394","45,618",33,-0.3,7.6,3
DeKalb,"40,075","42,093","41,750",55,5.0,-0.8,63
Elmore,"48,569","48,671","51,950",12,0.2,6.7,5
Escambia,"40,120","40,411","42,089",54,0.7,4.2,36
Etowah,"42,777","43,196","45,062",37,1.0,4.3,34
Fayette,"42,191","42,765","42,346",50,1.4,-1.0,66
Franklin,"40,296","42,616","42,272",52,5.8,-0.8,62
Geneva,"42,146","42,484","43,566",45,0.8,2.5,51
Greene,"40,198","38,247","39,811",65,-4.9,4.1,38
Hale,"44,809","44,433","46,181",30,-0.8,3.9,39
Henry,"53,672","53,003","53,701",8,-1.2,1.3,57
Houston,"51,535","51,977","54,541",6,0.9,4.9,23
Jackson,"43,162","44,123","45,322",34,2.2,2.7,48
Jefferson,"64,992","67,431","71,275",2,3.8,5.7,15
Lamar,"39,831","39,774","41,514",57,-0.1,4.4,31
Lauderdale,"44,823","44,959","47,168",27,0.3,4.9,24
Lawrence,"42,235","43,891","44,413",42,3.9,1.2,60
Lee,"45,218","46,140","48,511",24,2.0,5.1,22
Limestone,"53,156","53,965","57,194",5,1.5,6.0,11
Lowndes,"48,439","50,657","52,211",11,4.6,3.1,45
Macon,"38,030","38,926","41,172",60,2.4,5.8,13
Madison,"60,517","62,533","66,005",3,3.3,5.6,16
Marengo,"47,419","47,701","50,216",18,0.6,5.3,20
Marion,"41,506","43,428","45,211",35,4.6,4.1,37
Marshall,"45,985","47,142","48,602",23,2.5,3.1,44
Mobile,"47,670","48,419","50,513",16,1.6,4.3,33
Monroe,"42,511","42,390","43,607",44,-0.3,2.9,47
Montgomery,"49,587","50,777","53,891",7,2.4,6.1,10
Morgan,"46,508","47,549","49,630",19,2.2,4.4,30
Perry,"40,333","40,149","43,279",47,-0.5,7.8,2
Pickens,"43,902","41,570","42,292",51,-5.3,1.7,56
Pike,"45,632","48,000","49,237",21,5.2,2.6,50
Randolph,"42,014","42,457","42,104",53,1.1,-0.8,64
Russell,"39,914","39,111","41,186",59,-2.0,5.3,19
St. Clair,"47,303","48,215","50,493",17,1.9,4.7,27
Shelby,"65,158","67,354","71,565",1,3.4,6.3,7
Sumter,"39,173","38,777","41,168",61,-1.0,6.2,8
Talladega,"41,267","41,455","43,284",46,0.5,4.4,29
Tallapoosa,"48,690","49,046","51,662",13,0.7,5.3,18
Tuscaloosa,"41,246","42,186","44,456",41,2.3,5.4,17
Walker,"46,956","49,274","51,485",14,4.9,4.5,28
Washington,"44,306","45,502","46,859",29,2.7,3.0,46
Wilcox,"39,574","38,804","41,486",58,-1.9,6.9,4
Winston,"42,783","43,713","44,873",39,2.2,2.7,49
,,,,,,,
Alaska,"65,563","69,015","71,611",--,5.3,3.8,--
Aleutians East Borough,"59,263","63,498","65,421",20,7.1,3.0,22
Aleutians West Census Area,"63,931","68,799","72,234",15,7.6,5.0,14
Anchorage Municipality,"71,884","76,211","79,183",8,6.0,3.9,18
Bethel Census Area,"46,898","49,351","48,831",29,5.2,-1.1,29
Bristol Bay Borough,"161,764","158,309","169,751",1,-2.1,7.2,9
Chugach Census Area,"68,663","70,051","75,423",12,2.0,7.7,6
Copper River Census Area,"58,782","57,322","58,759",26,-2.5,2.5,26
Denali Borough,"109,241","120,328","127,445",2,10.1,5.9,12
Dillingham Census Area,"58,646","60,654","65,625",19,3.4,8.2,4
Fairbanks North Star Borough,"65,085","67,899","69,775",16,4.3,2.8,24
Haines Borough,"85,606","84,928","91,194",3,-0.8,7.4,7
Hoonah-Angoon Census Area,"60,801","68,190","73,176",14,12.2,7.3,8
Juneau City and Borough,"74,274","78,743","82,234",7,6.0,4.4,16
