,State,County,Median AQI
0,Alabama,Baldwin,43
1,Alabama,Clay,41
2,Alabama,DeKalb,48
3,Alabama,Elmore,38
4,Alabama,Etowah,51
5,Alabama,Jefferson,61
6,Alabama,Lawrence,34
7,Alabama,Madison,49
8,Alabama,Mobile,46
9,Alabama,Montgomery,52
10,Alabama,Morgan,43
11,Alabama,Russell,43
12,Alabama,Shelby,40
13,Alabama,Sumter,35
14,Alabama,Tuscaloosa,42
15,Alaska,Aleutians East ,11
16,Alaska,Anchorage ,21
17,Alaska,Denali ,33
18,Alaska,Fairbanks North Star ,41
19,Alaska,Juneau ,24
20,Alaska,Kenai Peninsula ,10
21,Alaska,Matanuska-Susitna ,14
22,Alaska,North Slope ,4
23,Arizona,Apache,13
24,Arizona,Cochise,44
25,Arizona,Coconino,46
26,Arizona,Gila,46
27,Arizona,La Paz,45
28,Arizona,Maricopa,72
29,Arizona,Mohave,15
30,Arizona,Navajo,43
31,Arizona,Pima,54
32,Arizona,Pinal,64
33,Arizona,Santa Cruz,37
34,Arizona,Yavapai,43
35,Arizona,Yuma,48
36,Arkansas,Arkansas,44
37,Arkansas,Ashley,43
38,Arkansas,Clark,35
39,Arkansas,Crittenden,41
40,Arkansas,Garland,47
41,Arkansas,Jackson,44
42,Arkansas,Newton,39
43,Arkansas,Polk,40
44,Arkansas,Pulaski,55
45,Arkansas,Union,51
46,Arkansas,Washington,44
47,California,Alameda,48
48,California,Amador,36
49,California,Butte,50
50,California,Calaveras,40
51,California,Colusa,55
52,California,Contra Costa,52
53,California,Del Norte,32
54,California,El Dorado,44
55,California,Fresno,64
56,California,Glenn,41
57,California,Humboldt,32
58,California,Imperial,61
59,California,Inyo,61
60,California,Kern,69
61,California,Kings,58
62,California,Lake,32
63,California,Los Angeles,67
64,California,Madera,52
65,California,Marin,34
66,California,Mariposa,47
67,California,Mendocino,53
68,California,Merced,51
69,California,Mono,24
70,California,Monterey,42
71,California,Nevada,44
72,California,Orange,52
73,California,Placer,52
74,California,Plumas,50
75,California,Riverside,77
76,California,Sacramento,51
77,California,San Benito,40
78,California,San Bernardino,71
79,California,San Diego,67
80,California,San Francisco,30
81,California,San Joaquin,47
82,California,San Luis Obispo,47
83,California,San Mateo,41
84,California,Santa Barbara,45
85,California,Santa Clara,43
86,California,Santa Cruz,36
87,California,Shasta,45
88,California,Siskiyou,43
89,California,Solano,40
90,California,Sonoma,33
91,California,Stanislaus,54
92,California,Sutter,49
93,California,Tehama,44
94,California,Trinity,31
95,California,Tulare,69
96,California,Tuolumne,43
97,California,Ventura,46
98,California,Yolo,43
99,Colorado,Adams,51
100,Colorado,Alamosa,22
101,Colorado,Arapahoe,47
102,Colorado,Archuleta,35
103,Colorado,Boulder,50
104,Colorado,Chaffee,58
105,Colorado,Clear Creek,49
106,Colorado,Denver,54
107,Colorado,Douglas,49
108,Colorado,El Paso,47
109,Colorado,Fremont,12
110,Colorado,Garfield,54
111,Colorado,Gilpin,47
112,Colorado,Grand,46
113,Colorado,Gunnison,46
114,Colorado,Jackson,45
115,Colorado,Jefferson,49
116,Colorado,La Plata,46
117,Colorado,Larimer,51
118,Colorado,Mesa,46
119,Colorado,Montezuma,44
120,Colorado,Park,50
121,Colorado,Pitkin,13
122,Colorado,Prowers,19
123,Colorado,Pueblo,43
124,Colorado,Rio Blanco,47
125,Colorado,Routt,13
126,Colorado,San Juan,9
127,Colorado,San Miguel,47
128,Colorado,Weld,55
129,Connecticut,Fairfield,46
130,Connecticut,Hartford,43
131,Connecticut,Litchfield,38
132,Connecticut,Middlesex,43
133,Connecticut,New Haven,47
134,Connecticut,New London,41
135,Connecticut,Tolland,41
136,Connecticut,Windham,34
137,Country Of Mexico,SONORA,53
138,Delaware,Kent,46
139,Delaware,New Castle,52
140,Delaware,Sussex,47
141,District Of Columbia,District of Columbia,50
142,Florida,Alachua,40
143,Florida,Baker,43
144,Florida,Bay,51
145,Florida,Brevard,43
146,Florida,Broward,52
147,Florida,Citrus,45
148,Florida,Collier,43
149,Florida,Columbia,47
150,Florida,Duval,52
151,Florida,Escambia,51
152,Florida,Flagler,35
153,Florida,Hamilton,46
154,Florida,Highlands,35
155,Florida,Hillsborough,51
156,Florida,Holmes,49
157,Florida,Indian River,34
158,Florida,Lake,37
159,Florida,Lee,35
160,Florida,Leon,47
161,Florida,Liberty,33
162,Florida,Manatee,35
163,Florida,Marion,45
164,Florida,Martin,41
165,Florida,Miami-Dade,48
166,Florida,Okaloosa,37
167,Florida,Orange,43
168,Florida,Osceola,36
169,Florida,Palm Beach,43
170,Florida,Pasco,39
171,Florida,Pinellas,47
172,Florida,Polk,42
173,Florida,Putnam,17
174,Florida,Santa Rosa,47
175,Florida,Sarasota,47
176,Florida,Seminole,40
177,Florida,St. Lucie,35
178,Florida,Volusia,44
179,Florida,Wakulla,39
180,Georgia,Bibb,53
181,Georgia,Charlton,27
182,Georgia,Chatham,48
183,Georgia,Chattooga,38
184,Georgia,Clarke,52
185,Georgia,Clayton,51
186,Georgia,Cobb,43
187,Georgia,Coffee,41
188,Georgia,Columbia,36
189,Georgia,Dawson,38
190,Georgia,DeKalb,53
191,Georgia,Dougherty,51
192,Georgia,Douglas,41
193,Georgia,Floyd,46
194,Georgia,Fulton,53
195,Georgia,Glynn,43
196,Georgia,Gwinnett,50
197,Georgia,Hall,52
198,Georgia,Henry,44
199,Georgia,Houston,49
200,Georgia,Lowndes,48
201,Georgia,Murray,41
202,Georgia,Muscogee,52
203,Georgia,Pike,39
204,Georgia,Richmond,51
205,Georgia,Rockdale,40
206,Georgia,Sumter,38
207,Georgia,Walker,53
208,Georgia,Washington,52
209,Hawaii,Hawaii,23
210,Hawaii,Honolulu,31
211,Hawaii,Maui,20
212,Idaho,Ada,44
213,Idaho,Bannock,41
214,Idaho,Benewah,48
215,Idaho,Blaine,19
216,Idaho,Boise,39
217,Idaho,Bonner,34
218,Idaho,Bonneville,25
219,Idaho,Butte,44
220,Idaho,Canyon,34
221,Idaho,Custer,8
222,Idaho,Franklin,24
223,Idaho,Idaho,44
224,Idaho,Kootenai,32
225,Idaho,Latah,22
226,Idaho,Lemhi,32
227,Idaho,Nez Perce,36
228,Idaho,Shoshone,47
229,Idaho,Twin Falls,25
230,Idaho,Valley,36
231,Illinois,Adams,43
232,Illinois,Champaign,48
233,Illinois,Clark,36
234,Illinois,Cook,57
235,Illinois,DuPage,53
236,Illinois,Effingham,44
237,Illinois,Hamilton,46
238,Illinois,Jersey,48
239,Illinois,Jo Daviess,36
240,Illinois,Kane,46
241,Illinois,Lake,42
242,Illinois,Macon,51
243,Illinois,Macoupin,37
244,Illinois,Madison,55
245,Illinois,McHenry,49
246,Illinois,McLean,50
247,Illinois,Peoria,48
248,Illinois,Randolph,46
249,Illinois,Rock Island,51
250,Illinois,Saint Clair,54
251,Illinois,Sangamon,51
252,Illinois,Will,53
253,Illinois,Winnebago,52
254,Indiana,Allen,42
255,Indiana,Bartholomew,46
256,Indiana,Boone,37
257,Indiana,Brown,37
258,Indiana,Carroll,36
259,Indiana,Clark,52
260,Indiana,Delaware,40
261,Indiana,Dubois,44
262,Indiana,Elkhart,44
263,Indiana,Floyd,46
264,Indiana,Greene,44
265,Indiana,Hamilton,46
266,Indiana,Hendricks,37
267,Indiana,Henry,44
268,Indiana,Howard,45
269,Indiana,Knox,39
270,Indiana,LaPorte,39
271,Indiana,Lake,55
272,Indiana,Madison,48
273,Indiana,Marion,60
274,Indiana,Monroe,40
275,Indiana,Perry,38
276,Indiana,Porter,48
277,Indiana,Posey,38
278,Indiana,Shelby,37
279,Indiana,Spencer,43
280,Indiana,St. Joseph,51
281,Indiana,Tippecanoe,42
282,Indiana,Vanderburgh,52
283,Indiana,Vigo,51
284,Indiana,Wabash,36
285,Indiana,Warrick,38
286,Indiana,Whitley,48
287,Iowa,Black Hawk,53
288,Iowa,Bremer,42
289,Iowa,Cerro Gordo,19
290,Iowa,Clinton,54
291,Iowa,Harrison,44
292,Iowa,Johnson,53
293,Iowa,Lee,47
294,Iowa,Linn,54
295,Iowa,Montgomery,44
296,Iowa,Muscatine,49
297,Iowa,Palo Alto,46
298,Iowa,Polk,52
299,Iowa,Pottawattamie,49
300,Iowa,Scott,53
301,Iowa,Van Buren,46
302,Iowa,Woodbury,43
303,Kansas,Chase,29
304,Kansas,Ford,15
305,Kansas,Johnson,49
306,Kansas,Leavenworth,37
307,Kansas,Neosho,54
308,Kansas,Sedgwick,48
309,Kansas,Shawnee,48
310,Kansas,Sherman,19
311,Kansas,Sumner,51
312,Kansas,Trego,47
313,Kansas,Wyandotte,51
314,Kentucky,Bell,49
315,Kentucky,Boone,44
316,Kentucky,Boyd,46
317,Kentucky,Bullitt,44
318,Kentucky,Campbell,44
319,Kentucky,Carter,40
320,Kentucky,Christian,47
321,Kentucky,Daviess,51
322,Kentucky,Edmonson,39
323,Kentucky,Fayette,45
324,Kentucky,Greenup,39
325,Kentucky,Hancock,42
326,Kentucky,Hardin,45
327,Kentucky,Jefferson,55
328,Kentucky,Jessamine,43
329,Kentucky,Livingston,42
330,Kentucky,McCracken,47
331,Kentucky,Morgan,38
332,Kentucky,Oldham,42
