,State,County,Median AQI,FIPS
0,Alabama,Baldwin,43,01003
1,Alabama,Clay,41,01027
2,Alabama,DeKalb,48,01049
3,Alabama,Elmore,38,01051
4,Alabama,Etowah,51,01055
5,Alabama,Jefferson,61,01073
6,Alabama,Lawrence,34,01079
7,Alabama,Madison,49,01089
8,Alabama,Mobile,46,01097
9,Alabama,Montgomery,52,01101
10,Alabama,Morgan,43,01103
11,Alabama,Russell,43,01113
12,Alabama,Shelby,40,01117
13,Alabama,Sumter,35,01119
14,Alabama,Tuscaloosa,42,01125
15,Alaska,Aleutians East ,11,02013
16,Alaska,Anchorage ,21,02020
17,Alaska,Denali ,33,02068
18,Alaska,Fairbanks North Star ,41,02090
19,Alaska,Juneau ,24,02110
20,Alaska,Kenai Peninsula ,10,02122
21,Alaska,Matanuska-Susitna ,14,02170
22,Alaska,North Slope ,4,02185
23,Arizona,Apache,13,04001
24,Arizona,Cochise,44,04003
25,Arizona,Coconino,46,04005
26,Arizona,Gila,46,04007
27,Arizona,La Paz,45,04012
28,Arizona,Maricopa,72,04013
29,Arizona,Mohave,15,04015
30,Arizona,Navajo,43,04017
31,Arizona,Pima,54,04019
32,Arizona,Pinal,64,04021
33,Arizona,Santa Cruz,37,04023
34,Arizona,Yavapai,43,04025
35,Arizona,Yuma,48,04027
36,Arkansas,Arkansas,44,05001
37,Arkansas,Ashley,43,05003
38,Arkansas,Clark,35,05019
39,Arkansas,Crittenden,41,05035
40,Arkansas,Garland,47,05051
41,Arkansas,Jackson,44,05067
42,Arkansas,Newton,39,05101
43,Arkansas,Polk,40,05113
44,Arkansas,Pulaski,55,05119
45,Arkansas,Union,51,05139
46,Arkansas,Washington,44,05143
47,California,Alameda,48,06001
48,California,Amador,36,06005
49,California,Butte,50,06007
50,California,Calaveras,40,06009
51,California,Colusa,55,06011
52,California,Contra Costa,52,06013
53,California,Del Norte,32,06015
54,California,El Dorado,44,06017
55,California,Fresno,64,06019
56,California,Glenn,41,06021
57,California,Humboldt,32,06023
58,California,Imperial,61,06025
59,California,Inyo,61,06027
60,California,Kern,69,06029
61,California,Kings,58,06031
62,California,Lake,32,06033
63,California,Los Angeles,67,06037
64,California,Madera,52,06039
65,California,Marin,34,06041
66,California,Mariposa,47,06043
67,California,Mendocino,53,06045
68,California,Merced,51,06047
69,California,Mono,24,06051
70,California,Monterey,42,06053
71,California,Nevada,44,06057
72,California,Orange,52,06059
73,California,Placer,52,06061
74,California,Plumas,50,06063
75,California,Riverside,77,06065
76,California,Sacramento,51,06067
77,California,San Benito,40,06069
78,California,San Bernardino,71,06071
79,California,San Diego,67,06073
80,California,San Francisco,30,06075
81,California,San Joaquin,47,06077
82,California,San Luis Obispo,47,06079
83,California,San Mateo,41,06081
84,California,Santa Barbara,45,06083
85,California,Santa Clara,43,06085
86,California,Santa Cruz,36,06087
87,California,Shasta,45,06089
88,California,Siskiyou,43,06093
89,California,Solano,40,06095
90,California,Sonoma,33,06097
91,California,Stanislaus,54,06099
92,California,Sutter,49,06101
93,California,Tehama,44,06103
94,California,Trinity,31,06105
95,California,Tulare,69,06107
96,California,Tuolumne,43,06109
97,California,Ventura,46,06111
98,California,Yolo,43,06113
99,Colorado,Adams,51,08001
100,Colorado,Alamosa,22,08003
101,Colorado,Arapahoe,47,08005
102,Colorado,Archuleta,35,08007
