,State,County,Median AQI,FIPS,Income
0,Alabama,Baldwin,43,1003.0,60969
1,Alabama,Clay,41,1027.0,39082
2,Alabama,DeKalb,48,1049.0,41750
3,Alabama,Elmore,38,1051.0,51950
4,Alabama,Etowah,51,1055.0,45062
5,Alabama,Jefferson,61,1073.0,71275
6,Alabama,Lawrence,34,1079.0,44413
7,Alabama,Madison,49,1089.0,66005
8,Alabama,Mobile,46,1097.0,50513
9,Alabama,Montgomery,52,1101.0,53891
10,Alabama,Morgan,43,1103.0,49630
11,Alabama,Russell,43,1113.0,41186
12,Alabama,Shelby,40,1117.0,71565
13,Alabama,Sumter,35,1119.0,41168
14,Alabama,Tuscaloosa,42,1125.0,44456
15,Alaska,Aleutians East ,11,2013.0,65421
16,Alaska,Anchorage ,21,2020.0,79183
17,Alaska,Denali ,33,2068.0,127445
18,Alaska,Fairbanks North Star ,41,2090.0,69775
19,Alaska,Juneau ,24,2110.0,82234
20,Alaska,Kenai Peninsula ,10,2122.0,62052
21,Alaska,Matanuska-Susitna ,14,2170.0,60538
22,Alaska,North Slope ,4,2185.0,85731
23,Arizona,Apache,13,4001.0,47885
24,Arizona,Cochise,44,4003.0,53304
25,Arizona,Coconino,46,4005.0,62002
26,Arizona,Gila,46,4007.0,52984
27,Arizona,La Paz,45,4012.0,58739
28,Arizona,Maricopa,72,4013.0,68111
29,Arizona,Mohave,15,4015.0,46777
30,Arizona,Navajo,43,4017.0,44667
31,Arizona,Pima,54,4019.0,58232
32,Arizona,Pinal,64,4021.0,49829
33,Arizona,Santa Cruz,37,4023.0,49416
34,Arizona,Yavapai,43,4025.0,55913
35,Arizona,Yuma,48,4027.0,46441
36,Arkansas,Arkansas,44,5001.0,63938
37,Arkansas,Ashley,43,5003.0,46686
38,Arkansas,Clark,35,5019.0,44397
39,Arkansas,Crittenden,41,5035.0,47271
40,Arkansas,Garland,47,5051.0,52506
41,Arkansas,Jackson,44,5067.0,49638
42,Arkansas,Newton,39,5101.0,39704
43,Arkansas,Polk,40,5113.0,39863
44,Arkansas,Pulaski,55,5119.0,65851
45,Arkansas,Union,51,5139.0,56838
46,Arkansas,Washington,44,5143.0,51797
47,California,Alameda,48,6001.0,106657
48,California,Amador,36,6005.0,50020
49,California,Butte,50,6007.0,56847
50,California,Calaveras,40,6009.0,58425
51,California,Colusa,55,6011.0,58303
52,California,Contra Costa,52,6013.0,103218
53,California,Del Norte,32,6015.0,47141
54,California,El Dorado,44,6017.0,84533
55,California,Fresno,64,6019.0,52728
56,California,Glenn,41,6021.0,53013
57,California,Humboldt,32,6023.0,57264
58,California,Imperial,61,6025.0,47991
59,California,Inyo,61,6027.0,64246
60,California,Kern,69,6029.0,47350
61,California,Kings,58,6031.0,43994
62,California,Lake,32,6033.0,48198
63,California,Los Angeles,67,6037.0,78302
64,California,Madera,52,6039.0,46709
65,California,Marin,34,6041.0,180575
66,California,Mariposa,47,6043.0,65423
67,California,Mendocino,53,6045.0,59050
68,California,Merced,51,6047.0,46654
69,California,Mono,24,6051.0,70699
70,California,Monterey,42,6053.0,68943
71,California,Nevada,44,6057.0,75539
72,California,Orange,52,6059.0,88897
73,California,Placer,52,6061.0,85265
74,California,Plumas,50,6063.0,64856
75,California,Riverside,77,6065.0,53750
76,California,Sacramento,51,6067.0,65104
77,California,San Benito,40,6069.0,66310
78,California,San Bernardino,71,6071.0,51194
79,California,San Diego,67,6073.0,79122
80,California,San Francisco,30,6075.0,164807
81,California,San Joaquin,47,6077.0,59361
82,California,San Luis Obispo,47,6079.0,72721
83,California,San Mateo,41,6081.0,172828
84,California,Santa Barbara,45,6083.0,82736
85,California,Santa Clara,43,6085.0,151003
86,California,Santa Cruz,36,6087.0,88581
87,California,Shasta,45,6089.0,57637
88,California,Siskiyou,43,6093.0,55052
89,California,Solano,40,6095.0,64514
90,California,Sonoma,33,6097.0,83408
91,California,Stanislaus,54,6099.0,53058
92,California,Sutter,49,6101.0,53900
93,California,Tehama,44,6103.0,49265
94,California,Trinity,31,6105.0,38243
95,California,Tulare,69,6107.0,48253
96,California,Tuolumne,43,6109.0,56239
97,California,Ventura,46,6111.0,78091
98,California,Yolo,43,6113.0,67778
99,Colorado,Adams,51,8001.0,58851
100,Colorado,Alamosa,22,8003.0,44666
101,Colorado,Arapahoe,47,8005.0,81414
102,Colorado,Archuleta,35,8007.0,58325
103,Colorado,Boulder,50,8013.0,100242
104,Colorado,Chaffee,58,8015.0,66503
105,Colorado,Clear Creek,49,8019.0,78739
106,Colorado,Denver,54,8031.0,116530
107,Colorado,Douglas,49,8035.0,102928
108,Colorado,El Paso,47,8041.0,65715
109,Colorado,Fremont,12,8043.0,43608
110,Colorado,Garfield,54,8045.0,71629
111,Colorado,Gilpin,47,8047.0,69394
112,Colorado,Grand,46,8049.0,73848
113,Colorado,Gunnison,46,8051.0,70391
114,Colorado,Jackson,45,8057.0,68367
115,Colorado,Jefferson,49,8059.0,85164
116,Colorado,La Plata,46,8067.0,76558
117,Colorado,Larimer,51,8069.0,71359
118,Colorado,Mesa,46,8077.0,57653
119,Colorado,Montezuma,44,8083.0,53105
120,Colorado,Park,50,8093.0,61974
121,Colorado,Pitkin,13,8097.0,255839
122,Colorado,Prowers,19,8099.0,49097
123,Colorado,Pueblo,43,8101.0,48891
124,Colorado,Rio Blanco,47,8103.0,63017
125,Colorado,Routt,13,8107.0,131507
126,Colorado,San Juan,9,8111.0,55971
127,Colorado,San Miguel,47,8113.0,156403
128,Colorado,Weld,55,8123.0,62532
129,Connecticut,Fairfield,46,9001.0,139006
130,Connecticut,Hartford,43,9003.0,75433
131,Connecticut,Litchfield,38,9005.0,82210
132,Connecticut,Middlesex,43,9007.0,80853
133,Connecticut,New Haven,47,9009.0,68387
134,Connecticut,New London,41,9011.0,69755
135,Connecticut,Tolland,41,9013.0,67916
136,Connecticut,Windham,34,9015.0,56773
137,Delaware,Kent,46,10001.0,52494
138,Delaware,New Castle,52,10003.0,70792
139,Delaware,Sussex,47,10005.0,68532
140,Florida,Alachua,40,12001.0,55872
141,Florida,Baker,43,12003.0,46794
142,Florida,Bay,51,12005.0,56070
143,Florida,Brevard,43,12009.0,60162
144,Florida,Broward,52,12011.0,70982
145,Florida,Citrus,45,12017.0,47178
146,Florida,Collier,43,12021.0,134527
147,Florida,Columbia,47,12023.0,45995
148,Florida,Duval,52,12031.0,58975
149,Florida,Escambia,51,12033.0,55416
150,Florida,Flagler,35,12035.0,63819
151,Florida,Hamilton,46,12047.0,37368
152,Florida,Highlands,35,12055.0,44177
153,Florida,Hillsborough,51,12057.0,63640
154,Florida,Holmes,49,12059.0,41258
155,Florida,Indian River,34,12061.0,105827
156,Florida,Lake,37,12069.0,55387
157,Florida,Lee,35,12071.0,65878
158,Florida,Leon,47,12073.0,57139
159,Florida,Liberty,33,12077.0,35661
160,Florida,Manatee,35,12081.0,64096
161,Florida,Marion,45,12083.0,46682
162,Florida,Martin,41,12085.0,114799
163,Florida,Miami-Dade,48,12086.0,75182
164,Florida,Okaloosa,37,12091.0,62236
165,Florida,Orange,43,12095.0,59767
166,Florida,Osceola,36,12097.0,47824
167,Florida,Palm Beach,43,12099.0,117322
168,Florida,Pasco,39,12101.0,56734
169,Florida,Pinellas,47,12103.0,71904
170,Florida,Polk,42,12105.0,44430
171,Florida,Putnam,17,12107.0,41712
172,Florida,Santa Rosa,47,12113.0,59385
173,Florida,Sarasota,47,12115.0,85157
174,Florida,Seminole,40,12117.0,62804
175,Florida,St. Lucie,35,12111.0,54842
176,Florida,Volusia,44,12127.0,55824
177,Florida,Wakulla,39,12129.0,52124
