,County,Income,State,FIPS
1,Autauga,53079,Alabama,01001
2,Baldwin,60969,Alabama,01003
3,Barbour,41531,Alabama,01005
4,Bibb,39835,Alabama,01007
5,Blount,45021,Alabama,01009
6,Bullock,36061,Alabama,01011
7,Butler,49192,Alabama,01013
8,Calhoun,44737,Alabama,01015
9,Chambers,40735,Alabama,01017
10,Cherokee,45099,Alabama,01019
11,Chilton,46120,Alabama,01021
12,Choctaw,49356,Alabama,01023
13,Clarke,47362,Alabama,01025
14,Clay,39082,Alabama,01027
15,Cleburne,44266,Alabama,01029
16,Coffee,53573,Alabama,01031
17,Colbert,47137,Alabama,01033
18,Conecuh,42999,Alabama,01035
19,Coosa,40420,Alabama,01037
20,Covington,43081,Alabama,01039
21,Crenshaw,47732,Alabama,01041
22,Cullman,50812,Alabama,01043
23,Dale,45756,Alabama,01045
24,Dallas,45618,Alabama,01047
25,DeKalb,41750,Alabama,01049
26,Elmore,51950,Alabama,01051
27,Escambia,42089,Alabama,01053
28,Etowah,45062,Alabama,01055
29,Fayette,42346,Alabama,01057
30,Franklin,42272,Alabama,01059
31,Geneva,43566,Alabama,01061
32,Greene,39811,Alabama,01063
33,Hale,46181,Alabama,01065
34,Henry,53701,Alabama,01067
35,Houston,54541,Alabama,01069
36,Jackson,45322,Alabama,01071
37,Jefferson,71275,Alabama,01073
38,Lamar,41514,Alabama,01075
39,Lauderdale,47168,Alabama,01077
40,Lawrence,44413,Alabama,01079
41,Lee,48511,Alabama,01081
42,Limestone,57194,Alabama,01083
43,Lowndes,52211,Alabama,01085
44,Macon,41172,Alabama,01087
45,Madison,66005,Alabama,01089
46,Marengo,50216,Alabama,01091
47,Marion,45211,Alabama,01093
48,Marshall,48602,Alabama,01095
49,Mobile,50513,Alabama,01097
50,Monroe,43607,Alabama,01099
51,Montgomery,53891,Alabama,01101
52,Morgan,49630,Alabama,01103
53,Perry,43279,Alabama,01105
54,Pickens,42292,Alabama,01107
55,Pike,49237,Alabama,01109
56,Randolph,42104,Alabama,01111
57,Russell,41186,Alabama,01113
58,St. Clair,50493,Alabama,01115
59,Shelby,71565,Alabama,01117
60,Sumter,41168,Alabama,01119
61,Talladega,43284,Alabama,01121
62,Tallapoosa,51662,Alabama,01123
63,Tuscaloosa,44456,Alabama,01125
64,Walker,51485,Alabama,01127
65,Washington,46859,Alabama,01129
66,Wilcox,41486,Alabama,01131
67,Winston,44873,Alabama,01133
70,Aleutians East Borough,65421,Alaska,02013
71,Aleutians West Census Area,72234,Alaska,02016
72,Anchorage Municipality,79183,Alaska,02020
73,Bethel Census Area,48831,Alaska,02050
74,Bristol Bay Borough,169751,Alaska,02060
75,Chugach Census Area,75423,Alaska,
76,Copper River Census Area,58759,Alaska,02066
77,Denali Borough,127445,Alaska,02068
78,Dillingham Census Area,65625,Alaska,02070
79,Fairbanks North Star Borough,69775,Alaska,02090
80,Haines Borough,91194,Alaska,02100
81,Hoonah-Angoon Census Area,73176,Alaska,02105
82,Juneau City and Borough,82234,Alaska,02110
83,Kenai Peninsula Borough,62052,Alaska,02122
84,Ketchikan Gateway Borough,76446,Alaska,02130
85,Kodiak Island Borough,76625,Alaska,02150
86,Kusilvak Census Area,36808,Alaska,02158
87,Lake and Peninsula Borough,74906,Alaska,02164
88,Matanuska-Susitna Borough,60538,Alaska,02170
89,Nome Census Area,63573,Alaska,02180
90,North Slope Borough,85731,Alaska,02185
91,Northwest Arctic Borough,57442,Alaska,02188
92,Petersburg Borough,78454,Alaska,02195
93,Prince of Wales-Hyder Census Area,55055,Alaska,02198
94,Sitka City and Borough,85253,Alaska,02220
95,Skagway Municipality,82617,Alaska,02230
96,Southeast Fairbanks Census Area,62909,Alaska,02240
97,Wrangell City and Borough,65946,Alaska,02275
98,Yakutat City and Borough,65099,Alaska,02282
99,Yukon-Koyukuk Census Area,69573,Alaska,02290
102,Apache,47885,Arizona,04001
103,Cochise,53304,Arizona,04003
104,Coconino,62002,Arizona,04005
105,Gila,52984,Arizona,04007
106,Graham,42787,Arizona,04009
107,Greenlee,57359,Arizona,04011
108,La Paz,58739,Arizona,04012
109,Maricopa,68111,Arizona,04013
110,Mohave,46777,Arizona,04015
111,Navajo,44667,Arizona,04017
112,Pima,58232,Arizona,04019
113,Pinal,49829,Arizona,04021
114,Santa Cruz,49416,Arizona,04023
115,Yavapai,55913,Arizona,04025
116,Yuma,46441,Arizona,04027
119,Arkansas,63938,Arkansas,05001
120,Ashley,46686,Arkansas,05003
121,Baxter,46819,Arkansas,05005
122,Benton,123114,Arkansas,05007
123,Boone,44528,Arkansas,05009
124,Bradley,48387,Arkansas,05011
125,Calhoun,49037,Arkansas,05013
