FIPS,Population
01001,60436
01003,254107
01005,24644
01007,21890
01009,59777
01011,9908
01013,18357
01015,116403
01017,34087
01019,25700
01021,46525
01023,12263
01025,22305
01027,14157
01029,15658
01031,55707
01033,58382
01035,11177
01037,10267
01039,37861
01041,13168
01043,91909
01045,49852
01047,36294
01049,72626
01051,90416
01053,36582
01055,103174
01057,15913
01059,31941
01061,27052
01063,7299
01065,14931
01067,17872
01069,108556
01071,53423
01073,664084
01075,13616
01077,96867
01079,33505
01081,184271
01083,114803
01085,9682
01087,18347
01089,413891
01091,18705
01093,29279
01095,101041
01097,411745
01099,19244
01101,225966
01103,125455
01105,7772
01107,18741
01109,33163
01111,22789
01113,58792
01115,95487
01117,233593
01119,11737
01121,81083
01123,40709
01125,239204
01127,64845
01129,15040
01131,9925
01133,23673
02013,3529
02016,5257
02020,287932
02050,18199
02060,859
02066,2656
02068,1595
02070,4626
02090,95700
02100,2088
02105,2278
02110,31483
02122,61285
02130,13708
02150,12659
02158,7991
02164,1337
02170,115296
02180,9790
02185,10621
02188,7286
02195,3431
02198,5708
02220,8304
02230,1101
02240,7148
02275,2072
02282,686
02290,5136
04001,65121
04003,124881
04005,144934
04007,54060
04009,39561
04011,9383
04012,16812
04013,4615625
04015,223801
04017,109281
04019,1068579
04021,486395
04023,49647
04025,249499
04027,215448
05001,16295
05003,18232
05005,42781
05007,312248
05009,38516
05011,10109
05013,4664
05015,28738
05017,9507
05019,20918
05021,14191
05023,25476
05025,7386
05027,22193
05029,21118
05031,114245
05033,61810
05035,47171
05037,16453
05039,6187
05041,10478
05043,16986
05045,129909
05047,17471
05049,12422
05051,99759
05053,18392
05055,46700
05057,19321
05059,33259
05061,12500
05063,38329
05065,14202
05067,16749
05069,63539
05071,26161
05073,6082
05075,16225
05077,8221
05079,12900
05081,11766
05083,21360
05085,75924
05087,17767
05089,17485
05091,42302
05093,38635
05095,6540
05097,8605
05099,8126
05101,7079
05103,21793
05105,10188
05107,14991
05109,10164
05111,22373
05113,19490
05115,64663
05117,8012
05119,400704
05121,18913
05123,22066
05125,129566
05127,9836
05129,7818
05131,129203
05133,15654
05135,17954
05137,12677
05139,37409
05141,16152
05143,261880
05145,78523
05147,5939
05149,20063
06001,1638142
06003,1126
06005,41798
06007,207354
06009,46580
06011,22093
06013,1162179
06015,26571
06017,192440
06019,1019899
06021,28190
06023,134009
06025,180585
06027,18548
06029,916646
06031,153281
06033,67934
06035,28838
06037,9731837
06039,163402
06041,255706
06043,16996
06045,89354
06047,294402
06049,8566
06051,13207
06053,435637
06055,133444
06057,102086
06059,3154563
06061,424599
06063,19120
06065,2503549
06067,1594506
06069,68341
06071,2200805
06073,3285890
06075,819151
06077,805909
06079,282007
06081,734267
06083,443521
06085,1897137
06087,263699
06089,180656
06091,3180
06093,42941
06095,451060
06097,483366
06099,553921
06101,98457
06103,64959
06105,15684
06107,480747
06109,54123
06111,833071
06113,222919
06115,85695
08001,535677
08003,16668
08005,661864
08007,14167
08009,3363
08011,5712
08013,328419
08014,77029
08015,20608
08017,1738
08019,9123
08021,7511
08023,3624
08025,5616
08027,5551
08029,31760
08031,721367
08033,2525
08035,385141
08037,54592
08039,28812
08041,746934
08043,50352
08045,62921
08047,5923
08049,15971
08051,17334
08053,761
08055,7041
08057,1316
08059,577693
08061,1376
08063,7032
08065,7367
08067,56401
08069,371530
08071,14394
08073,5498
08075,20660
08077,159690
08079,932
08081,13287
08083,26600
08085,44319
08087,29806
08089,18148
08091,5185
08093,18121
08095,4490
08097,16690
08099,11789
08101,169723
08103,6586
08105,11194
08107,25154
08109,6687
08111,797
08113,7874
08115,2305
08117,30824
08119,24711
08121,4859
08123,360216
08125,9981
10001,190123
10003,582325
10005,263975
11001,687324
12001,288962
12003,28542
12005,192422
12007,27788
12009,646705
12011,2002786
12013,13497
12015,207085
12017,166836
12019,232734
12021,410065
12023,73324
12027,36274
12029,17221
12031,1038833
12033,328034
12035,131892
12037,12628
12039,44100
12041,19735
12043,12839
12045,15757
12047,13721
12049,25944
12051,44111
12053,213415
12055,108151
12057,1557313
12059,19662
12061,170487
12063,48731
12065,15547
12067,8192
12069,426782
12071,844226
12073,299024
12075,46665
12077,7771
12079,18322
12081,444457
12083,412338
12085,164241
12086,2774250
12087,81306
12089,101579
12091,219624
12093,41603
12095,1501265
12097,447243
12099,1557481
12101,636049
12103,967301
12105,824172
12107,76211
12109,321510
12111,376186
12113,203569
12115,472079
12117,489254
12119,152157
12121,46134
12123,21766
12125,15993
12127,592622
12129,36472
12131,86338
12133,25545
13001,18517
13003,8351
13005,11140
13007,2750
13009,43423
13011,19863
13013,93011
13015,114977
13017,17150
13019,18587
13021,156676
13023,12455
13025,18417
13027,16275
13029,49876
13031,84332
13033,24431
13035,26875
13037,5462
13039,57991
13043,11106
13045,127293
13047,68935
13049,12928
13051,304757
13053,8588
13055,25176
13057,287243
13059,130338
13061,2869
13063,299380
13065,6808
13067,781208
13069,43464
13071,46515
13073,165470
13075,17760
13077,156269
13079,12335
13081,19668
13083,16188
13085,31720
13087,29124
13089,768047
13091,19799
13093,11056
13095,82635
13097,149401
13099,10570
13101,3739
13103,71549
13105,20003
13107,23146
13109,10753
13111,25916
13113,123698
13115,100407
13117,274535
13119,24815
13121,1083971
13123,32868
13125,2943
13127,86229
13129,59844
13131,26130
13133,20733
13135,991602
13137,48851
13139,218248
13141,8730
13143,32040
13145,36700
13147,27557
13149,12052
13151,254934
13153,171955
13155,9123
13157,88723
13159,16496
13161,14927
13163,15211
13165,8628
13167,9328
13169,29000
13171,20420
13173,10452
13175,49932
13177,33928
13179,68235
13181,7898
13183,19651
13185,120800
13187,35268
13189,21860
13191,11532
13193,11838
13195,32255
13197,7485
13199,20964
13201,5790
13205,20778
13207,30616
13209,8767
13211,21537
13213,41072
13215,201959
13217,120529
13219,44256
13221,15788
13223,183535
13225,28807
13227,35975
13229,20443
13231,20422
13233,44363
13235,10114
13237,23183
13239,2278
13241,17525
13243,6113
13245,205646
13247,96263
13249,4534
13251,14204
13253,9080
13255,69992
13257,27255
13259,4697
13261,28942
13263,5715
13265,1601
13267,24328
13269,7793
13271,10969
13273,8704
13275,45666
13277,41620
13279,27198
13281,13007
13283,6351
13285,70957
13287,8926
13289,7706
13291,27115
13293,28265
13295,69410
13297,106778
13299,36263
13301,5108
13303,19891
13305,31449
13307,2367
13309,7097
13311,29056
13313,104147
13315,8801
13317,9552
13319,8747
13321,20271
15001,208043
15003,994576
15005,81
15007,73933
15009,164754
16001,526690
16003,4898
16005,90585
16007,6783
16009,10400
16011,50398
16013,25180
16015,8560
16017,52709
16019,131475
16021,13677
16023,2747
16025,1232
16027,258742
16029,7233
16031,25817
16033,801
16035,9192
16037,4531
16039,29706
16041,15516
16043,14258
16045,21384
16047,16113
16049,17928
16051,34259
16053,25574
16055,185237
16057,41691
16059,8447
16061,3740
16063,5444
16065,55123
16067,22526
16069,42978
16071,4955
16073,12762
16075,27284
16077,8301
16079,14072
16081,12632
16083,95404
16085,12630
16087,11508
17001,64435
17003,4723
17005,16637
17007,53239
17009,6301
17011,32758
17013,4293
17015,15492
17017,12779
17019,209813
17021,33319
17023,15218
17025,12945
17027,36886
17029,46532
17031,5142522
17033,18342
17035,10272
17037,100661
17039,15331
17041,19733
17043,929180
17045,16442
17047,6021
17049,34453
17051,21209
17053,13316
17055,37156
17057,32664
17059,4708
17061,11572
17063,53587
17065,7886
17067,17195
17069,3599
17071,6105
17073,48362
17075,26033
17077,52867
17079,9156
17081,36331
17083,21158
17085,21749
17087,13355
17089,517241
17091,106386
17093,140229
17095,48663
17097,714207
17099,108397
17101,14886
17103,33606
17105,35321
17107,27508
17109,26952
17111,313435
17113,171493
17115,100754
17117,44127
17119,263442
17121,36640
17123,11650
17125,12588
17127,13751
17129,11996
17131,15456
17133,35144
17135,27756
17137,32773
17139,14327
17141,51391
17143,178735
17145,20499
17147,16720
17149,14339
17151,3715
17153,4957
17155,5588
17157,29993
17159,15502
17161,141939
17163,252094
17165,22988
17167,194216
17169,6725
17171,4850
17173,20593
17175,5267
17177,43347
17179,129835
17181,16866
17183,71551
17185,11032
17187,16224
17189,13570
17191,15875
17193,13482
17195,54582
17197,703383
17199,66737
17201,282214
17203,38387
18001,36469
18003,395131
18005,84248
18007,8761
18009,11875
18011,76195
18013,15691
18015,20570
18017,37802
18019,125686
18021,26419
18023,32879
18025,10442
18027,33801
18029,51414
18031,26395
18033,44177
18035,112448
18037,43678
18039,206963
18041,23256
18043,80882
18045,16674
18047,23174
18049,20319
18051,32919
18053,66303
18055,31132
18057,372588
18059,86176
18061,40011
18063,187141
18065,48993
18067,83857
18069,36818
18071,46787
18073,33456
18075,20069
18077,32938
18079,27614
18081,168305
18083,36027
18085,80441
18087,40979
18089,500591
18091,111586
18093,45034
18095,132746
18097,975654
18099,46323
18101,9862
18103,35477
18105,141052
18107,38571
18109,73100
18111,14033
18113,47508
18115,5993
18117,19711
18119,21775
18121,16483
18123,19291
18125,12089
18127,175289
18129,25047
18131,12434
18133,37578
18135,24360
18137,29208
18139,16815
18141,273658
18143,24625
18145,45281
18147,20018
18149,23334
18151,34876
18153,20822
18155,9965
