,State,County,Median AQI,Income
0,Alabama,Baldwin,43,60969
1,Alabama,Clay,41,39082
2,Alabama,DeKalb,48,41750
3,Alabama,Elmore,38,51950
4,Alabama,Etowah,51,45062
5,Alabama,Jefferson,61,71275
6,Alabama,Lawrence,34,44413
7,Alabama,Madison,49,66005
8,Alabama,Mobile,46,50513
9,Alabama,Montgomery,52,53891
10,Alabama,Morgan,43,49630
11,Alabama,Russell,43,41186
12,Alabama,Shelby,40,71565
13,Alabama,Sumter,35,41168
14,Alabama,Tuscaloosa,42,44456
15,Arizona,Apache,13,47885
16,Arizona,Cochise,44,53304
17,Arizona,Coconino,46,62002
18,Arizona,Gila,46,52984
19,Arizona,La Paz,45,58739
20,Arizona,Maricopa,72,68111
21,Arizona,Mohave,15,46777
22,Arizona,Navajo,43,44667
23,Arizona,Pima,54,58232
24,Arizona,Pinal,64,49829
25,Arizona,Santa Cruz,37,49416
26,Arizona,Yavapai,43,55913
27,Arizona,Yuma,48,46441
28,Arkansas,Arkansas,44,63938
29,Arkansas,Ashley,43,46686
30,Arkansas,Clark,35,44397
31,Arkansas,Crittenden,41,47271
32,Arkansas,Garland,47,52506
33,Arkansas,Jackson,44,49638
34,California,Alameda,48,106657
35,California,Amador,36,50020
36,California,Butte,50,56847
37,California,Calaveras,40,58425
38,California,Colusa,55,58303
39,California,Contra Costa,52,103218
40,California,Del Norte,32,47141
41,California,El Dorado,44,84533
42,California,Fresno,64,52728
43,California,Glenn,41,53013
44,California,Humboldt,32,57264
45,California,Imperial,61,47991
46,California,Inyo,61,64246
47,California,Kern,69,47350
48,California,Kings,58,43994
49,California,Lake,32,48198
50,California,Los Angeles,67,78302
51,California,Madera,52,46709
52,California,Marin,34,180575
53,California,Mariposa,47,65423
54,California,Mendocino,53,59050
55,California,Merced,51,46654
56,California,Mono,24,70699
57,California,Monterey,42,68943
58,Colorado,Adams,51,58851
59,Colorado,Alamosa,22,44666
60,Colorado,Arapahoe,47,81414
61,Colorado,Archuleta,35,58325
62,Colorado,Boulder,50,100242
63,Colorado,Chaffee,58,66503
64,Colorado,Clear Creek,49,78739
65,Colorado,Denver,54,116530
66,Colorado,Douglas,49,102928
67,Colorado,El Paso,47,65715
68,Colorado,El Paso,47,46753
69,Colorado,Fremont,12,43608
70,Colorado,Garfield,54,71629
71,Colorado,Gilpin,47,69394
72,Colorado,Grand,46,73848
73,Colorado,Gunnison,46,70391
74,Colorado,Jackson,45,68367
75,Colorado,Jackson,45,54702
76,Colorado,Jefferson,49,85164
77,Colorado,Jefferson,49,50131
78,Colorado,La Plata,46,76558
79,Colorado,Larimer,51,71359
80,Colorado,Mesa,46,57653
81,Colorado,Montezuma,44,53105
82,Colorado,Park,50,61974
83,Colorado,Pitkin,13,255839
84,Colorado,Prowers,19,49097
85,Colorado,Pueblo,43,48891
86,Colorado,Rio Blanco,47,63017
87,Colorado,Routt,13,131507
88,Colorado,San Juan,9,55971
89,Colorado,San Miguel,47,156403
90,Connecticut,Fairfield,46,139006
91,Connecticut,Hartford,43,75433
92,Connecticut,Litchfield,38,82210
93,Connecticut,Middlesex,43,80853
94,Connecticut,New Haven,47,68387
95,Connecticut,New London,41,69755
96,Connecticut,Tolland,41,67916
97,Connecticut,Windham,34,56773
98,Delaware,Kent,46,52494
99,Delaware,New Castle,52,70792
100,Delaware,Sussex,47,68532
101,Florida,Alachua,40,55872
102,Florida,Baker,43,46794
103,Florida,Bay,51,56070
104,Florida,Brevard,43,60162
105,Florida,Broward,52,70982
106,Florida,Citrus,45,47178
107,Florida,Collier,43,134527
108,Florida,Columbia,47,45995
109,Florida,Duval,52,58975
110,Florida,Escambia,51,55416
111,Florida,Flagler,35,63819
112,Florida,Hamilton,46,37368
113,Florida,Highlands,35,44177
114,Florida,Hillsborough,51,63640
115,Florida,Holmes,49,41258
116,Florida,Indian River,34,105827
117,Florida,Lake,37,55387
118,Florida,Lee,35,65878
119,Florida,Leon,47,57139
120,Florida,Liberty,33,35661
121,Florida,Manatee,35,64096
122,Florida,Marion,45,46682
123,Florida,Martin,41,114799
124,Florida,Miami-Dade,48,75182
125,Florida,Okaloosa,37,62236
126,Florida,Orange,43,59767
127,Florida,Osceola,36,47824
128,Florida,Palm Beach,43,117322
129,Florida,Pasco,39,56734
130,Florida,Pinellas,47,71904
131,Florida,Polk,42,44430
132,Florida,Putnam,17,41712
133,Florida,Santa Rosa,47,59385
134,Florida,Sarasota,47,85157
135,Florida,Seminole,40,62804
136,Florida,St. Lucie,35,54842
137,Florida,Volusia,44,55824
138,Florida,Wakulla,39,52124
139,Georgia,Bibb,53,48455
140,Georgia,Charlton,27,32717
141,Georgia,Chatham,48,59376
142,Georgia,Chattooga,38,38269
143,Georgia,Clarke,52,43899
144,Georgia,Clayton,51,34871
145,Georgia,Cobb,43,75176
146,Georgia,Coffee,41,40334
147,Georgia,Columbia,36,61147
148,Georgia,Dawson,38,63599
149,Georgia,DeKalb,53,67811
150,Georgia,Dougherty,51,47803
151,Georgia,Douglas,41,45636
152,Georgia,Floyd,46,46727
153,Georgia,Fulton,53,106131
154,Georgia,Glynn,43,62751
155,Georgia,Gwinnett,50,54331
156,Georgia,Hall,52,60036
157,Georgia,Henry,44,49576
158,Georgia,Houston,49,50250
159,Georgia,Lowndes,48,45758
160,Georgia,Murray,41,38846
161,Georgia,Muscogee,52,51442
162,Georgia,Pike,39,52786
163,Georgia,Richmond,51,45441
164,Georgia,Rockdale,40,43568
165,Georgia,Sumter,38,45394
166,Georgia,Walker,53,44195
167,Hawaii,Hawaii,23,52866
168,Hawaii,Honolulu,31,69893
169,Idaho,Ada,44,72588
170,Idaho,Bannock,41,50084
171,Idaho,Benewah,48,45633
172,Idaho,Blaine,19,187239
173,Idaho,Boise,39,54614
174,Idaho,Bonner,34,55464
175,Idaho,Bonneville,25,60032
176,Idaho,Butte,44,51958
177,Idaho,Canyon,34,47903
178,Idaho,Custer,8,52420
179,Idaho,Franklin,24,45872
180,Idaho,Idaho,44,45574
181,Idaho,Kootenai,32,63893
182,Idaho,Latah,22,54794
183,Idaho,Lemhi,32,53841
184,Idaho,Nez Perce,36,56586
185,Idaho,Shoshone,47,45440
186,Idaho,Twin Falls,25,52087
187,Idaho,Valley,36,66382
188,Illinois,Adams,43,59776
189,Illinois,Champaign,48,58838
190,Illinois,Clark,36,53733
191,Illinois,Cook,57,77937
192,Illinois,DuPage,53,95811
193,Illinois,Effingham,44,67028
194,Illinois,Hamilton,46,55005
195,Illinois,Jersey,48,55010
196,Illinois,Jo Daviess,36,59940
197,Illinois,Kane,46,67922
198,Illinois,Lake,42,99895
199,Illinois,Macon,51,60030
200,Illinois,Macoupin,37,54510
201,Illinois,Madison,55,60115
202,Illinois,McHenry,49,69641
203,Illinois,McLean,50,61174
204,Illinois,Peoria,48,62066
205,Illinois,Randolph,46,48860
206,Illinois,Rock Island,51,52525
207,Illinois,Sangamon,51,60497
208,Indiana,Allen,42,60607
209,Indiana,Bartholomew,46,65564
210,Indiana,Boone,37,97028
211,Indiana,Brown,37,61898
212,Indiana,Carroll,36,53144
213,Indiana,Clark,52,56729
214,Indiana,Monroe,40,54716
215,Indiana,Perry,38,56411
216,Iowa,Black Hawk,53,55529
217,Iowa,Bremer,42,61420
218,Iowa,Cerro Gordo,19,79493
219,Iowa,Clinton,54,53442
220,Iowa,Johnson,53,63487
221,Iowa,Lee,47,52269
222,Iowa,Linn,54,63407
