,County,Income,State
1,Autauga,53079,Alabama
2,Baldwin,60969,Alabama
3,Barbour,41531,Alabama
4,Bibb,39835,Alabama
5,Blount,45021,Alabama
6,Bullock,36061,Alabama
7,Butler,49192,Alabama
8,Calhoun,44737,Alabama
9,Chambers,40735,Alabama
10,Cherokee,45099,Alabama
11,Chilton,46120,Alabama
12,Choctaw,49356,Alabama
13,Clarke,47362,Alabama
14,Clay,39082,Alabama
15,Cleburne,44266,Alabama
16,Coffee,53573,Alabama
17,Colbert,47137,Alabama
18,Conecuh,42999,Alabama
19,Coosa,40420,Alabama
20,Covington,43081,Alabama
21,Crenshaw,47732,Alabama
22,Cullman,50812,Alabama
23,Dale,45756,Alabama
24,Dallas,45618,Alabama
25,DeKalb,41750,Alabama
26,Elmore,51950,Alabama
27,Escambia,42089,Alabama
28,Etowah,45062,Alabama
29,Fayette,42346,Alabama
30,Franklin,42272,Alabama
31,Geneva,43566,Alabama
32,Greene,39811,Alabama
33,Hale,46181,Alabama
34,Henry,53701,Alabama
35,Houston,54541,Alabama
36,Jackson,45322,Alabama
37,Jefferson,71275,Alabama
38,Lamar,41514,Alabama
39,Lauderdale,47168,Alabama
40,Lawrence,44413,Alabama
41,Lee,48511,Alabama
42,Limestone,57194,Alabama
43,Lowndes,52211,Alabama
44,Macon,41172,Alabama
45,Madison,66005,Alabama
46,Marengo,50216,Alabama
47,Marion,45211,Alabama
48,Marshall,48602,Alabama
49,Mobile,50513,Alabama
50,Monroe,43607,Alabama
51,Montgomery,53891,Alabama
52,Morgan,49630,Alabama
53,Perry,43279,Alabama
54,Pickens,42292,Alabama
55,Pike,49237,Alabama
56,Randolph,42104,Alabama
57,Russell,41186,Alabama
58,St. Clair,50493,Alabama
59,Shelby,71565,Alabama
60,Sumter,41168,Alabama
61,Talladega,43284,Alabama
62,Tallapoosa,51662,Alabama
63,Tuscaloosa,44456,Alabama
64,Walker,51485,Alabama
66,Wilcox,41486,Washington
67,Winston,44873,Washington
70,Aleutians East Borough,65421,Alaska
71,Aleutians West Census Area,72234,Alaska
72,Anchorage Municipality,79183,Alaska
73,Bethel Census Area,48831,Alaska
74,Bristol Bay Borough,169751,Alaska
75,Chugach Census Area,75423,Alaska
76,Copper River Census Area,58759,Alaska
77,Denali Borough,127445,Alaska
78,Dillingham Census Area,65625,Alaska
79,Fairbanks North Star Borough,69775,Alaska
80,Haines Borough,91194,Alaska
81,Hoonah-Angoon Census Area,73176,Alaska
82,Juneau City and Borough,82234,Alaska
83,Kenai Peninsula Borough,62052,Alaska
84,Ketchikan Gateway Borough,76446,Alaska
85,Kodiak Island Borough,76625,Alaska
86,Kusilvak Census Area,36808,Alaska
87,Lake and Peninsula Borough,74906,Alaska
88,Matanuska-Susitna Borough,60538,Alaska
89,Nome Census Area,63573,Alaska
90,North Slope Borough,85731,Alaska
91,Northwest Arctic Borough,57442,Alaska
92,Petersburg Borough,78454,Alaska
93,Prince of Wales-Hyder Census Area,55055,Alaska
94,Sitka City and Borough,85253,Alaska
95,Skagway Municipality,82617,Alaska
96,Southeast Fairbanks Census Area,62909,Alaska
97,Wrangell City and Borough,65946,Alaska
98,Yakutat City and Borough,65099,Alaska
99,Yukon-Koyukuk Census Area,69573,Alaska
102,Apache,47885,Arizona
103,Cochise,53304,Arizona
104,Coconino,62002,Arizona
105,Gila,52984,Arizona
106,Graham,42787,Arizona
107,Greenlee,57359,Arizona
108,La Paz,58739,Arizona
109,Maricopa,68111,Arizona
110,Mohave,46777,Arizona
111,Navajo,44667,Arizona
112,Pima,58232,Arizona
113,Pinal,49829,Arizona
114,Santa Cruz,49416,Arizona
115,Yavapai,55913,Arizona
116,Yuma,46441,Arizona
120,Ashley,46686,Arkansas
121,Baxter,46819,Arkansas
122,Benton,123114,Arkansas
123,Boone,44528,Arkansas
124,Bradley,48387,Arkansas
125,Calhoun,49037,Arkansas
126,Carroll,41516,Arkansas
127,Chicot,49835,Arkansas
128,Clark,44397,Arkansas
129,Clay,46032,Arkansas
130,Cleburne,51355,Arkansas
131,Cleveland,50996,Arkansas
132,Columbia,48542,Arkansas
133,Conway,49464,Arkansas
134,Craighead,49625,Arkansas
135,Crawford,43595,Arkansas
136,Crittenden,47271,Arkansas
137,Cross,45553,Arkansas
138,Dallas,48893,Arkansas
139,Desha,51547,Arkansas
140,Drew,48730,Arkansas
141,Faulkner,51017,Arkansas
142,Franklin,42944,Arkansas
143,Fulton,36218,Arkansas
144,Garland,52506,Arkansas
145,Grant,50128,Arkansas
146,Greene,43710,Arkansas
147,Hempstead,42015,Arkansas
148,Hot Spring,39936,Arkansas
149,Howard,44311,Arkansas
150,Independence,47318,Arkansas
151,Izard,38281,Arkansas
152,Jackson,49638,Arkansas
153,Jefferson,43046,Arkansas
154,Johnson,35549,Arkansas
155,Lafayette,50109,Arkansas
156,Lawrence,43536,Arkansas
157,Lee,37402,Arkansas
158,Lincoln,32565,Arkansas
159,Little River,42731,Arkansas
160,Logan,40613,Arkansas
161,Lonoke,51952,Arkansas
162,Madison,42673,Arkansas
163,Marion,39163,Arkansas
164,Miller,42293,Arkansas
166,Monroe,45511,Mississippi
167,Montgomery,40367,Mississippi
169,Newton,39704,Nevada
170,Ouachita,51167,Nevada
171,Perry,47868,Nevada
172,Phillips,46576,Nevada
173,Pike,42381,Nevada
174,Poinsett,46750,Nevada
175,Polk,39863,Nevada
176,Pope,43838,Nevada
177,Prairie,49123,Nevada
178,Pulaski,65851,Nevada
179,Randolph,41112,Nevada
180,St. Francis,37401,Nevada
181,Saline,54851,Nevada
182,Scott,38982,Nevada
183,Searcy,35719,Nevada
184,Sebastian,50348,Nevada
185,Sevier,42946,Nevada
186,Sharp,43491,Nevada
187,Stone,39075,Nevada
188,Union,56838,Nevada
189,Van Buren,41926,Nevada
191,White,46269,Washington
192,Woodruff,57492,Washington
193,Yell,44170,Washington
196,Alameda,106657,California
197,Alpine,75395,California
198,Amador,50020,California
199,Butte,56847,California
200,Calaveras,58425,California
201,Colusa,58303,California
202,Contra Costa,103218,California
203,Del Norte,47141,California
204,El Dorado,84533,California
205,Fresno,52728,California
206,Glenn,53013,California
207,Humboldt,57264,California
208,Imperial,47991,California
209,Inyo,64246,California
210,Kern,47350,California
211,Kings,43994,California
212,Lake,48198,California
213,Lassen,43736,California
214,Los Angeles,78302,California
215,Madera,46709,California
216,Marin,180575,California
217,Mariposa,65423,California
218,Mendocino,59050,California
219,Merced,46654,California
220,Modoc,60674,California
221,Mono,70699,California
222,Monterey,68943,California
223,Napa,94973,California
225,Orange,88897,Nevada
226,Placer,85265,Nevada
227,Plumas,64856,Nevada
228,Riverside,53750,Nevada
229,Sacramento,65104,Nevada
230,San Benito,66310,Nevada
231,San Bernardino,51194,Nevada
232,San Diego,79122,Nevada
233,San Francisco,164807,Nevada
234,San Joaquin,59361,Nevada
235,San Luis Obispo,72721,Nevada
236,San Mateo,172828,Nevada
237,Santa Barbara,82736,Nevada
238,Santa Clara,151003,Nevada
239,Santa Cruz,88581,Nevada
240,Shasta,57637,Nevada
241,Sierra,53251,Nevada
242,Siskiyou,55052,Nevada
243,Solano,64514,Nevada
244,Sonoma,83408,Nevada
245,Stanislaus,53058,Nevada
246,Sutter,53900,Nevada
247,Tehama,49265,Nevada
248,Trinity,38243,Nevada
249,Tulare,48253,Nevada
250,Tuolumne,56239,Nevada
251,Ventura,78091,Nevada
252,Yolo,67778,Nevada
253,Yuba,50587,Nevada
256,Adams,58851,Colorado
257,Alamosa,44666,Colorado
258,Arapahoe,81414,Colorado
259,Archuleta,58325,Colorado
260,Baca,60686,Colorado
261,Bent,34152,Colorado
262,Boulder,100242,Colorado
263,Broomfield,90712,Colorado
264,Chaffee,66503,Colorado
265,Cheyenne,83285,Colorado
