,County,Income,State
0,Baldwin,"60,969",Alabama
1,Barbour,"41,531",Alabama
2,Bibb,"39,835",Alabama
3,Blount,"45,021",Alabama
4,Bullock,"36,061",Alabama
5,Butler,"49,192",Alabama
6,Calhoun,"44,737",Alabama
7,Chambers,"40,735",Alabama
8,Cherokee,"45,099",Alabama
9,Chilton,"46,120",Alabama
10,Choctaw,"49,356",Alabama
11,Clarke,"47,362",Alabama
12,Clay,"39,082",Alabama
13,Cleburne,"44,266",Alabama
14,Coffee,"53,573",Alabama
15,Colbert,"47,137",Alabama
16,Conecuh,"42,999",Alabama
17,Coosa,"40,420",Alabama
18,Covington,"43,081",Alabama
19,Crenshaw,"47,732",Alabama
20,Cullman,"50,812",Alabama
21,Dale,"45,756",Alabama
22,Dallas,"45,618",Alabama
23,DeKalb,"41,750",Alabama
24,Elmore,"51,950",Alabama
25,Escambia,"42,089",Alabama
26,Etowah,"45,062",Alabama
27,Fayette,"42,346",Alabama
28,Franklin,"42,272",Alabama
29,Geneva,"43,566",Alabama
30,Greene,"39,811",Alabama
31,Hale,"46,181",Alabama
32,Henry,"53,701",Alabama
33,Houston,"54,541",Alabama
34,Jackson,"45,322",Alabama
35,Jefferson,"71,275",Alabama
36,Lamar,"41,514",Alabama
37,Lauderdale,"47,168",Alabama
38,Lawrence,"44,413",Alabama
39,Lee,"48,511",Alabama
40,Limestone,"57,194",Alabama
41,Lowndes,"52,211",Alabama
42,Macon,"41,172",Alabama
43,Madison,"66,005",Alabama
44,Marengo,"50,216",Alabama
45,Marion,"45,211",Alabama
46,Marshall,"48,602",Alabama
47,Mobile,"50,513",Alabama
48,Monroe,"43,607",Alabama
49,Montgomery,"53,891",Alabama
50,Morgan,"49,630",Alabama
51,Perry,"43,279",Alabama
52,Pickens,"42,292",Alabama
53,Pike,"49,237",Alabama
54,Randolph,"42,104",Alabama
55,Russell,"41,186",Alabama
56,St. Clair,"50,493",Alabama
57,Shelby,"71,565",Alabama
58,Sumter,"41,168",Alabama
59,Talladega,"43,284",Alabama
60,Tallapoosa,"51,662",Alabama
61,Tuscaloosa,"44,456",Alabama
62,Walker,"51,485",Alabama
63,Washington,"46,859",Washington
64,Wilcox,"41,486",Washington
65,Winston,"44,873",Washington
66,Aleutians East Borough,"65,421",Alaska
67,Aleutians West Census Area,"72,234",Alaska
68,Anchorage Municipality,"79,183",Alaska
69,Bethel Census Area,"48,831",Alaska
70,Bristol Bay Borough,"169,751",Alaska
71,Chugach Census Area,"75,423",Alaska
72,Copper River Census Area,"58,759",Alaska
73,Denali Borough,"127,445",Alaska
74,Dillingham Census Area,"65,625",Alaska
75,Fairbanks North Star Borough,"69,775",Alaska
76,Haines Borough,"91,194",Alaska
77,Hoonah-Angoon Census Area,"73,176",Alaska
78,Juneau City and Borough,"82,234",Alaska
79,Kenai Peninsula Borough,"62,052",Alaska
80,Ketchikan Gateway Borough,"76,446",Alaska
81,Kodiak Island Borough,"76,625",Alaska
82,Kusilvak Census Area,"36,808",Alaska
83,Lake and Peninsula Borough,"74,906",Alaska
84,Matanuska-Susitna Borough,"60,538",Alaska
85,Nome Census Area,"63,573",Alaska
86,North Slope Borough,"85,731",Alaska
87,Northwest Arctic Borough,"57,442",Alaska
88,Petersburg Borough,"78,454",Alaska
89,Prince of Wales-Hyder Census Area,"55,055",Alaska
90,Sitka City and Borough,"85,253",Alaska
91,Skagway Municipality,"82,617",Alaska
92,Southeast Fairbanks Census Area,"62,909",Alaska
93,Wrangell City and Borough,"65,946",Alaska
94,Yakutat City and Borough,"65,099",Alaska
95,Yukon-Koyukuk Census Area,"69,573",Alaska
96,Apache,"47,885",Arizona
97,Cochise,"53,304",Arizona
98,Coconino,"62,002",Arizona
99,Gila,"52,984",Arizona
100,Graham,"42,787",Arizona
101,Greenlee,"57,359",Arizona
102,La Paz,"58,739",Arizona
103,Maricopa,"68,111",Arizona
104,Mohave,"46,777",Arizona
105,Navajo,"44,667",Arizona
106,Pima,"58,232",Arizona
107,Pinal,"49,829",Arizona
108,Santa Cruz,"49,416",Arizona
109,Yavapai,"55,913",Arizona
110,Yuma,"46,441",Arizona
111,Arkansas,"63,938",Arkansas
112,Ashley,"46,686",Arkansas
113,Baxter,"46,819",Arkansas
114,Benton,"123,114",Arkansas
115,Boone,"44,528",Arkansas
116,Bradley,"48,387",Arkansas
117,Calhoun,"49,037",Arkansas
118,Carroll,"41,516",Arkansas
119,Chicot,"49,835",Arkansas
120,Clark,"44,397",Arkansas
121,Clay,"46,032",Arkansas
122,Cleburne,"51,355",Arkansas
123,Cleveland,"50,996",Arkansas
124,Columbia,"48,542",Arkansas
125,Conway,"49,464",Arkansas
126,Craighead,"49,625",Arkansas
127,Crawford,"43,595",Arkansas
128,Crittenden,"47,271",Arkansas
129,Cross,"45,553",Arkansas
130,Dallas,"48,893",Arkansas
131,Desha,"51,547",Arkansas
132,Drew,"48,730",Arkansas
133,Faulkner,"51,017",Arkansas
134,Franklin,"42,944",Arkansas
135,Fulton,"36,218",Arkansas
136,Garland,"52,506",Arkansas
137,Grant,"50,128",Arkansas
138,Greene,"43,710",Arkansas
139,Hempstead,"42,015",Arkansas
140,Hot Spring,"39,936",Arkansas
141,Howard,"44,311",Arkansas
142,Independence,"47,318",Arkansas
143,Izard,"38,281",Arkansas
144,Jackson,"49,638",Arkansas
145,Jefferson,"43,046",Arkansas
146,Johnson,"35,549",Arkansas
147,Lafayette,"50,109",Arkansas
148,Lawrence,"43,536",Arkansas
149,Lee,"37,402",Arkansas
150,Lincoln,"32,565",Arkansas
151,Little River,"42,731",Arkansas
152,Logan,"40,613",Arkansas
153,Lonoke,"51,952",Arkansas
154,Madison,"42,673",Arkansas
155,Marion,"39,163",Arkansas
156,Miller,"42,293",Arkansas
157,Mississippi,"47,237",Mississippi
158,Monroe,"45,511",Mississippi
159,Montgomery,"40,367",Mississippi
160,Nevada,"39,904",Nevada
161,Newton,"39,704",Nevada
162,Ouachita,"51,167",Nevada
163,Perry,"47,868",Nevada
164,Phillips,"46,576",Nevada
165,Pike,"42,381",Nevada
166,Poinsett,"46,750",Nevada
167,Polk,"39,863",Nevada
168,Pope,"43,838",Nevada
169,Prairie,"49,123",Nevada
170,Pulaski,"65,851",Nevada
171,Randolph,"41,112",Nevada
